session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
5fc1086a6c7e7609bb5ec77d,5efcbaecbc3f20093acbd04b,APPROVED,2020-11-27 14:08:41.970000,2020-11-27 14:17:04.189000,502.219,33,26,1,99,2020-11-27 15:17:08.185000,15E9CDA0,Italy,Italy,Part-Time,DATA EXPIRED,United States,DATA EXPIRED,Yes
5fc108a84557470987956b5a,5fbe968c4c6fbd0259add0dc,APPROVED,2020-11-27 14:09:50.859000,2020-11-27 14:32:09.060000,1338.201,34,3,0,100,2020-11-27 15:17:16.675000,15E9CDA0,United States,United States,,,United States,Male,No
5fc108a90808b609dfc641e9,5f6b9292a9a9b40c515cb37c,APPROVED,2020-11-27 14:09:45.775000,2020-11-27 14:14:48.698000,302.923,19,89,0,100,2020-11-27 15:16:29.769000,15E9CDA0,United States,Poland,Part-Time,DATA EXPIRED,United States,Male,No
5fc108b3cad3e20008162a4a,5fb423fe0b065008eb3dd395,APPROVED,2020-11-27 14:10:59.825000,2020-11-27 14:22:54.274000,714.449,44,18,0,100,2020-11-27 15:16:25.331000,15E9CDA0,United States,United States,Full-Time,DATA EXPIRED,United States,Male,No
5fc108b9944bf7093e718e20,5f5d245b14f72256d618275d,APPROVED,2020-11-27 14:10:03.819000,2020-11-27 14:11:49.243000,105.424,25,42,1,98,2020-11-27 15:16:38.463000,15E9CDA0,United States,United States,Unemployed (and job seeking),DATA EXPIRED,United States,Male,No
5fc108d5bd9a14089e90bea7,5e7fa738df5533044f5c1c3c,RETURNED,2020-11-27 14:10:31.390000,,4112.168015,41,263,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5fc108e0f8b6b909496fc557,5bff110c1ad00400016981d1,APPROVED,2020-11-27 14:16:19.582000,2020-11-27 14:38:12.015000,1312.433,20,587,6,98,2020-11-27 15:16:18.932000,15E9CDA0,United States,Portugal,Full-Time,English,United States,Male,No
5fc108fcd493d60973a7edac,5ac54b229534ba0001c745f1,APPROVED,2020-11-27 14:11:12.360000,2020-11-27 14:16:54.743000,342.383,35,197,2,99,2020-11-27 15:16:48.981000,15E9CDA0,United States,United States,Part-Time,English,United States,Female,No
5fc1091ba1e4b00807787183,5f5a6c23009333128f6f7d82,APPROVED,2020-11-27 14:11:41.505000,2020-11-27 14:30:21.862000,1120.357,24,95,0,100,2020-11-27 15:17:08.370000,15E9CDA0,United States,United States,Unemployed (and job seeking),DATA EXPIRED,United States,Female,No
5fc1091d9f5e52000951a6b7,5efa2ba830e9728258718bef,APPROVED,2020-11-27 14:11:43.861000,2020-11-27 14:16:27.979000,284.118,22,158,1,99,2020-11-27 15:16:50.152000,15E9CDA0,United States,United States,Part-Time,English,United States,Male,Yes
5fc10926444cef0902e07f88,5eb71ecc0c2db40c7df1dd77,APPROVED,2020-11-27 14:11:55.399000,2020-11-27 14:21:33.442000,578.043,28,109,1,99,2020-11-27 15:16:27.099000,15E9CDA0,Uzbekistan,Canada,Full-Time,Russian,United States,Male,No
5fc10944550133090354b16c,57bdb5eb467f26000125db79,APPROVED,2020-11-27 14:12:35.401000,2020-11-27 14:17:50.582000,315.181,45,994,1,100,2020-11-27 15:16:49.461000,15E9CDA0,United States,United States,Unemployed (and job seeking),English,United States,Male,DATA EXPIRED
5fc109690d097c07ea45b2b8,5fc0a86eb9e6095621c9bfbf,APPROVED,2020-11-27 14:13:26.306000,2020-11-27 14:21:33.140000,486.834,30,2,0,100,2020-11-27 15:16:36.065000,15E9CDA0,United States,,Full-Time,,United States,Male,No
5fc10977c37dd809497672bf,5eeb4fbb416e8c04b2ba7ed1,APPROVED,2020-11-27 14:13:11.193000,2020-11-27 14:27:44.754000,873.561,60,232,2,99,2020-11-27 15:16:18.714000,15E9CDA0,Philippines,Korea,Part-Time,English,United States,Male,No
5fc10999fcaf7609aff0f4a9,5f1c68e202ac4f0a43a6cb0d,APPROVED,2020-11-27 14:13:48.617000,2020-11-27 14:19:10.425000,321.808,62,210,1,100,2020-11-27 15:16:15.595000,15E9CDA0,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
